Flight_ID,Airline,Source_Airport,Destination_Airport,Departure_Time,Departure_Period,Arrival_Time,Arrival_Period,Duration,Distance_km,Aircraft_Type,Ticket_Price_PKR,Delay_Minutes,Status,Airline_Frequency
PI664,SereneAir,SKZ,MUX,2025-10-22 18:24,Evening,2025-10-22 22:16,Night,1h 50m,975,Airbus A320,26948,120,Delayed,244
AI647,AirSial,UET,KHI,2025-10-22 23:13,Night,2025-10-23 03:13,Night,3h 54m,982,Airbus A321,13010,120,Delayed,280
PI638,SereneAir,SKZ,LHE,2025-10-17 06:45,Morning,2025-10-17 09:55,Morning,3h 14m,1473,Boeing 737,11845,0,On-Time,244
PI378,PIA,ISB,MUX,2025-10-22 00:56,Night,2025-10-22 05:07,Morning,1h 35m,1329,Airbus A321,34858,15,Cancelled,240
AI225,AirSial,LHE,LYP,2025-10-08 12:32,Afternoon,2025-10-08 15:23,Afternoon,4h 17m,910,Boeing 737,39800,120,Cancelled,280
SE116,AirSial,LHE,UET,2025-10-29 18:10,Evening,2025-10-29 21:02,Night,4h 38m,552,Airbus A321,28978,15,Cancelled,280
PI819,AirBlue,MUX,LYP,2025-10-07 11:30,Morning,2025-10-07 15:26,Afternoon,2h 12m,754,ATR 72,42159,30,Cancelled,290
PI158,FlyJinnah,LHE,MUX,2025-10-12 18:50,Evening,2025-10-12 20:06,Evening,3h 59m,1265,ATR 72,46262,30,Cancelled,257
AI874,AirSial,MUX,LHE,2025-10-17 01:59,Night,2025-10-17 03:02,Night,4h 28m,870,Airbus A320,12933,0,Cancelled,280
FL525,FlyJinnah,LHE,KHI,2025-10-24 03:02,Night,2025-10-24 06:08,Morning,2h 28m,1016,Airbus A321,39164,0,On-Time,257
AI377,PIA,SKZ,ISB,2025-10-28 00:10,Night,2025-10-28 04:03,Night,2h 15m,318,ATR 72,28601,0,Cancelled,240
SE641,SereneAir,UET,MUX,2025-10-04 16:40,Afternoon,2025-10-04 18:11,Evening,2h 59m,623,ATR 72,42814,15,Delayed,244
PI716,AirBlue,SKZ,ISB,2025-10-16 05:58,Morning,2025-10-16 07:48,Morning,4h 48m,1093,Airbus A321,23667,60,Cancelled,290
PI604,PIA,LHE,UET,2025-10-21 05:16,Morning,2025-10-21 08:59,Morning,1h 17m,592,Boeing 737,44990,15,Cancelled,240
SE905,AirSial,PEW,SKZ,2025-10-07 22:51,Night,2025-10-08 01:23,Night,2h 43m,575,Airbus A320,45231,15,Delayed,280
AI677,PIA,UET,SKZ,2025-10-30 02:58,Night,2025-10-30 05:12,Morning,1h 26m,828,Airbus A321,49661,120,Cancelled,240
